amfi_code,CAGR,Sharpe,Max_Drawdown,score
120505,0.3280159948038617,1.1801011976606492,-0.18188513572116294,88.5
148569,0.31924485848158723,1.2349300257743294,-0.1639674294693263,85.5
149324,0.3226210752841656,0.9497958246616031,-0.31171900300634214,84.5
119598,0.3239808398464554,0.9453082575156095,-0.2870600572176455,84.0
120843,0.30883325525154603,1.3067439695428409,-0.1297396816518679,80.5
148567,0.30949920362874206,1.4482911703262598,-0.11265729075028275,80.0
149323,0.29558105232568344,1.1321218524747243,-0.17248105753451382,79.0
100033,0.30099703552874524,1.093698743534631,-0.16217208574644848,78.0
119551,0.2578492084946409,1.2082665673727175,-0.1501238549864533,76.5
119094,0.28192608222062465,0.9982309868636413,-0.20960883862039192,76.0
118632,0.2403119561352478,1.0816591793457042,-0.17414075086657232,74.5
101206,0.23520488754230384,1.0272133278753695,-0.11291596329323073,65.5
120504,0.2327744753273051,1.0265242847993001,-0.12588275606922517,65.0
148568,0.22499840384352243,0.9262873467360146,-0.1527259422823477,62.5
119552,0.21508021785499332,0.9532794968660104,-0.11803493502764295,60.5
125497,0.19003613208378556,0.7757902498211205,-0.15200013055606398,57.0
120506,0.17072227512921923,0.6488787755249534,-0.1982565826298267,56.5
102887,0.16828673461948984,0.6195175900829828,-0.21539827112383225,55.0
120503,0.18771330105513617,0.7979728586052847,-0.13897862823061635,55.0
118633,0.16262218000296524,0.6452074382933215,-0.18629743138595511,52.0
102885,0.18218826089343754,0.8170993373494367,-0.1085986215250232,51.5
118634,0.16361396476593382,0.44843400890899127,-0.2334488614483311,51.0
101207,0.07933120999915699,0.16266076928646772,-0.3544691649336603,46.0
120841,0.13522349085511554,0.4942725378672349,-0.1757361416468729,46.0
118635,0.15945481185082522,0.664856998549062,-0.1165062450540909,45.0
125498,0.11293660210400969,0.3006119210425478,-0.21117279560132118,43.5
119093,0.07891944369437343,0.12961449795669328,-0.21751396370148224,40.5
149322,0.13383520958789363,0.4640374492204776,-0.14844576917771746,40.0
120842,0.06696806255006482,0.07599984804658921,-0.24003511326274884,37.5
119599,0.02053064146209893,-0.05718662582817995,-0.5257422117012851,32.0
120507,0.0723241093234459,0.4957233929533123,-0.0009773140045925555,30.5
119095,0.015204552427132478,-0.0759735711747892,-0.5167775370852656,29.5
100016,0.026352458116335464,-0.20151706755966936,-0.24734440880673303,27.0
119092,0.0636349475771898,0.03078485095458594,-0.1440161790933726,25.5
102886,0.0117093879842316,-0.20583160785470309,-0.2800112356639287,23.5
120844,0.0691037983940288,-0.08874729621557288,-0.0011629327956168556,19.0
119120,0.05885271270380055,-0.22657538662791576,-0.04328728923970093,13.5
118636,0.053131554027608274,-0.3566295075143678,-0.08316361763638702,12.0
101208,0.06504429821332125,-0.8155673679088263,-0.0016224980244717857,11.5
100025,0.04455091155784441,-0.5670947928476846,-0.04308263824636349,9.0
